encounter,level,win_rate,avg_rounds,avg_deaths,avg_hp_pct_on_win,timeouts,n
t3_skirmisher,5,0.963,4.21,1.34,0.627,0,80
t3_skirmisher,6,1.000,3.71,0.75,0.696,0,80
t3_skirmisher,7,1.000,3.66,0.66,0.710,0,80
t3_skirmisher,8,0.988,3.41,0.45,0.766,0,80
t3_skirmisher,9,1.000,3.26,0.39,0.772,0,80
t3_skirmisher,10,1.000,3.05,0.14,0.815,0,80
t3_swarm,1,0.738,3.66,2.67,0.617,0,80
t3_swarm,2,0.950,3.39,1.09,0.674,0,80
t3_swarm,3,0.988,3.32,1.00,0.678,0,80
t3_swarm,4,1.000,3.10,0.47,0.722,0,80
t3_swarm,5,1.000,2.89,0.19,0.769,0,80
t3_swarm,6,1.000,2.88,0.30,0.782,0,80
t3_swarm,7,1.000,2.61,0.14,0.807,0,80
t3_swarm,8,1.000,2.61,0.23,0.803,0,80
t3_swarm,9,1.000,2.42,0.11,0.840,0,80
t3_swarm,10,1.000,2.42,0.04,0.838,0,80
t3_ailment,1,1.000,2.60,0.69,0.786,0,80
t3_ailment,2,1.000,2.35,0.49,0.840,0,80
t3_ailment,3,1.000,2.33,0.28,0.840,0,80
t3_ailment,4,1.000,2.12,0.16,0.863,0,80
t3_ailment,5,1.000,2.09,0.14,0.867,0,80
t3_ailment,6,1.000,2.05,0.11,0.868,0,80
t3_ailment,7,1.000,2.04,0.09,0.884,0,80
t3_ailment,8,1.000,1.98,0.05,0.907,0,80
t3_ailment,9,1.000,1.84,0.04,0.908,0,80
t3_ailment,10,1.000,1.74,0.03,0.917,0,80
t4_brute,1,0.988,5.34,1.48,0.705,0,80
t4_brute,2,1.000,5.00,1.05,0.742,0,80
t4_brute,3,1.000,4.70,1.01,0.723,0,80
t4_brute,4,0.988,4.46,0.97,0.759,0,80
t4_brute,5,1.000,4.22,0.82,0.765,0,80
t4_brute,6,1.000,4.03,0.68,0.779,0,80
t4_brute,7,1.000,3.94,0.65,0.809,0,80
t4_brute,8,1.000,3.51,0.74,0.816,0,80
t4_brute,9,1.000,3.49,0.61,0.823,0,80
t4_brute,10,1.000,3.45,0.49,0.836,0,80
t4_skirmisher,1,0.037,7.33,5.91,0.353,0,80
t4_skirmisher,2,0.050,7.00,5.81,0.513,0,80
t4_skirmisher,3,0.138,5.73,5.49,0.467,0,80
t4_skirmisher,4,0.212,6.12,5.17,0.474,0,80
t4_skirmisher,5,0.412,6.03,4.26,0.445,0,80
t4_skirmisher,6,0.512,5.37,3.83,0.497,0,80
t4_skirmisher,7,0.787,5.78,2.74,0.481,0,80
t4_skirmisher,8,0.787,5.71,2.77,0.488,0,80
t4_skirmisher,9,0.900,5.24,1.65,0.543,0,80
t4_skirmisher,10,0.912,4.90,1.46,0.597,0,80
t4_swarm,1,0.075,4.83,5.70,0.581,0,80
t4_swarm,2,0.338,4.59,4.80,0.467,0,80
t4_swarm,3,0.450,5.06,4.40,0.424,0,80
t4_swarm,4,0.738,4.71,2.98,0.488,0,80
t4_swarm,5,0.875,4.41,2.09,0.492,0,80
t4_swarm,6,0.950,4.49,1.73,0.558,0,80
t4_swarm,7,0.938,4.36,1.39,0.562,0,80
t4_swarm,8,0.988,3.86,0.74,0.630,0,80
t4_swarm,9,0.988,3.67,0.44,0.679,0,80
t4_swarm,10,1.000,3.55,0.41,0.692,0,80
t4_ailment,1,0.900,4.00,2.51,0.605,0,80
t4_ailment,2,0.912,3.70,1.85,0.660,0,80
t4_ailment,3,0.975,3.41,1.27,0.703,0,80
t4_ailment,4,0.988,3.61,1.16,0.722,0,80
t4_ailment,5,1.000,3.15,0.62,0.743,0,80
t4_ailment,6,1.000,3.05,0.64,0.759,0,80
t4_ailment,7,1.000,2.88,0.33,0.808,0,80
t4_ailment,8,1.000,2.59,0.28,0.833,0,80
t4_ailment,9,1.000,2.54,0.24,0.815,0,80
t4_ailment,10,1.000,2.61,0.25,0.843,0,80
t5_brute,1,0.400,8.50,4.76,0.473,0,80
